Record_ID,Year,Month,Month_Name,Quarter,Branch_Zone,State,Segment,KPI_Name,Budget_INR_Lakhs,Actual_INR_Lakhs,Variance_INR_Lakhs,Variance_Pct,Target_Achieved,RM_Responsible,Last_Updated
BA00167,2022,12,DECEMBER,Q4,West Zone,Delhi,Retail Banking,OPERATING EXPENSE,1614.31,1724.76,Rs.110.45,6.84%,Yes,Rajesh Sharma,12-08-2022
BA00168,2010,6,June,Q2,Central Zone,Karnataka,SME Banking,profit before tax,705.61,634.55,-71.06,-10.07,YES ,Vijay Kumar,26-09-2021
BA00169,2022,7,July,Q3,West Zone,Telangana,SME Banking,New Customer Acquisition,3955.87,3216.03,-739.84,-18.70%,No,Nitin Joshi,14-Apr-24
BA00170,2012,11,November,Q4,East Zone,punjab,corporate banking,New Customer Acquisition,3517.84,2732.25,-785.59,-22.33%,No,Vijay Kumar,19-04-2017
BA00171,2023,11,Nov,Q4,NORTH ZONE,Maharashtra,  Retail Banking,Profit Before Tax,1915.91,1426.75,-489.16,-25.53%,No,amit patel,21-06-2025
BA00172,2023,6,June,Q2,Central Zone,Telangana,Priority Banking,Fee Income,2189.09,2086.64,-102.45,-4.68%,No,Sunita Rao,24-06-2023
BA00173,2011,5,MAY,Q2,South Zone,Kerala,Priority Banking,Total Disbursement,2277.29,1636.84,Rs.-640.45,-28.12%,No,Mohan Das,05-Aug-23
BA00174,2015,2,February,Q1,Central Zone,  Tamil Nadu,Corporate Banking,Fee Income,1930.66,2082.53,151.87,7.87%,Yes,Sanjay Gupta,02-06-2025
BA00175,2017,1,January,Q1,East Zone,Karnataka,Retail Banking,Profit Before Tax,500.72,611.12,110.4,22.05%,Yes,Priya Nair,23-11-2025
BA00176,2020,8,August,Q3,South Zone,Maharashtra,Corporate Banking,New Customer Acquisition,3480.25,,-541.62,-15.56,No,Vijay Kumar,06-May-23
BA00177,2020,4,April,Q2,South Zone,TELANGANA,  Corporate Banking,Recovery Amount,1839.61,1457.2,-382.41,-20.79%,No,Mohan Das,02-10-2023
BA00178,2022,2,FEBRUARY,Q1,North Zone,Gujarat,Priority Banking,Cross Sell Revenue,Rs.1711.32,1515.61,-195.71,-11.44%,No,ramesh yadav,28-10-2024
BA00179,2010,12,DECEMBER,Q4,North Zone,Karnataka,SME Banking,New Customer Acquisition,3661.056,3050.88,-596.32,-16.35,No,Sanjay Gupta,25-Oct-24
BA00180,2010,2,Feb,Q1,Central Zone,ANDHRA PRADESH,Corporate Banking,  NPA Amount,4083.12,2941.15,-1141.97,-27.97%,No,  Amit Patel,20-Mar-12
BA00181,2023,2,Feb,Q1,SOUTH ZONE,GUJARAT,NRI Banking,total deposits,178.6,190.63,12.03,6.74%,Yes,Lalita Devi,09-06-2025
BA00182,2024,3,March,Q1,NORTH ZONE,MADHYA PRADESH,Retail Banking,NPA Amount,1415.07,1564.12,149.05,10.53%,Yes,  Amit Patel,24-03-2024
BA00183,2012,2,February,Q1,north zone,Gujarat,Corporate Banking,Total Disbursement,4938.69,3982.68,,-19.36,No,Ramesh Yadav,29-11-2015
BA00184,2012,7,July,Q3,South Zone,Karnataka,priority banking,recovery amount,2932.79,3322.05,389.26,13.27%,Yes,Priya Nair,30-10-2022
BA00185,2023,4,April,Q2,  Central Zone,Odisha,SME BANKING,Total Deposits,1716.65,1591.77,-124.88,-7.27,No,Mohan Das,24-04-2023
BA00186,2011,4,Apr,Q2,South Zone,  Haryana,NRI Banking,NPA AMOUNT,2083.63,2125.07,41.44,1.99%,Yes,priya nair,24-04-2011
BA00187,2013,8,August,Q3,Central Zone,Punjab,SME BANKING,  Fee Income,666.32,826.55,160.23,24.05%,Yes,Deepa Krishnan,19-03-2018
BA00188,2010,11,November,Q4,South Zone,Kerala,RETAIL BANKING,Net Interest Income,3581.83,4101.39,519.56,14.51%,Yes,Anita Bose,24-11-2010
BA00189,2025,4,April,Q2,West Zone,Tamil Nadu,SME Banking,Total Disbursement,3226.29,2608.61,-617.68,-19.15%,No,Sanjay Gupta,27-11-2025
BA00190,2010,4,April,Q2,Central Zone,kerala,NRI Banking,New Customer Acquisition,Rs.4011.5,3700.17,-311.33,-7.76%,No,Rajesh Sharma,24-04-2010
BA00191,2025,5,MAY,Q2,East Zone,Delhi,priority banking,Total Disbursement,2133.95,1496.95,,-29.85%,No,sunita rao,11-Oct-25
BA00192,2012,5,May,Q2,Central Zone,Haryana,RETAIL BANKING,Recovery Amount,4881.6,5818.87,937.27,19.20%,Yes,Nitin Joshi,24-05-2012
BA00193,2025,1,JANUARY,Q1,NORTH ZONE,Telangana,SME Banking,PROFIT BEFORE TAX,1084.89,1362.48,277.59,25.59%,N,sunita rao,25-02-2025
BA00194,2012,8,August,Q3,South Zone,Telangana,NRI Banking,NPA Amount,3670.02,4501.66,831.64,22.66%,Yes,  Ramesh Yadav,24-08-2012
BA00195,2020,4,April,Q2,West Zone,Andhra Pradesh,NRI Banking,Fee Income,4886.02,5887.07,1001.05,20.49%,Yes,Anita Bose,14-11-2024
BA00196,2015,7,JULY,Q3,  Central Zone,Rajasthan,  SME Banking,New Customer Acquisition,1516.18,Rs.1649.54,133.36,8.80%,Yes,NITIN JOSHI,25-06-2025
BA00197,2018,12,DECEMBER,Q4,central zone,Andhra Pradesh,Retail Banking,Total Disbursement,915.6,1089.68,174.08,19.01%,Yes,Deepa Krishnan,17-Feb-24
BA00198,2020,2,FEBRUARY,Q1,Central Zone,West Bengal,Priority Banking,Operating Expense,Rs.1433.17,,80.29,5.60%,Yes,Nitin Joshi,10-02-2024
BA00199,2010,3,March,Q1,North Zone,Rajasthan,SME Banking,Cross Sell Revenue,1256.12,1459.03,202.91,16.15%,Yes,Anita Bose,24-03-2010
BA00200,2022,6,June,Q2,South Zone,Delhi,SME Banking,Recovery Amount,2085.77,2099.66,13.89,0.67%,Yes,Priya Nair,15-11-2024
BA00201,2022,1,January,Q1,North Zone,Delhi,Priority Banking,FEE INCOME,1347.39,1090.66,-256.73,-19.05%,No,Ramesh Yadav,14-09-2025
BA00202,2020,8,Aug,Q3,South Zone,Kerala,NRI Banking,Net Interest Income,Rs.1230.22,1478.18,247.96,20.16%,Yes,Sanjay Gupta,03-04-2025
BA00203,2014,9,September,Q3,East Zone,kerala,Corporate Banking,PROFIT BEFORE TAX,2154.11,1989.99,-164.12,-7.62,No,  Kavitha Subramanian,23-12-2019
BA00204,2023,9,September,Q3,Central Zone,Punjab,PRIORITY BANKING,New Customer Acquisition,2148.28,2205.02,Rs.56.74,2.64%,Yes,Priya Nair,24-09-2023
BA00205,2015,10,October,Q4,South Zone,  Andhra Pradesh,corporate banking,Recovery Amount,3383.5,3821.14,437.64,12.93%,Yes,  Meena Iyer,04-07-2025
BA00206,2011,8,August,Q3,North Zone,Madhya Pradesh,SME BANKING,Operating Expense,1355.21,1395.77,40.56,2.99%,Yes,Sunita Rao,27-08-2015
BA00207,2020,3,March,Q1,Central Zone,HARYANA,SME Banking,New Customer Acquisition,2038,2509.85,471.85,23.15%,Yes,Sanjay Gupta,17-06-2021
BA00208,2025,6,June,Q2,NORTH ZONE,Delhi,Corporate Banking,Operating Expense,581.44,620.16,38.72,6.66%,Yes,LALITA DEVI,24-06-2025
BA00209,2020,1,January,Q1,east zone,Rajasthan,SME Banking,New Customer Acquisition,498.22,428.65,-69.57,-13.96%,yes,Amit Patel,21-01-2022
BA00210,2020,7,July,Q3,west zone,MADHYA PRADESH,SME Banking,total disbursement,568.464,473.72,22.98,5.10%,Yes,Sanjay Gupta,24-07-2020
BA00211,2016,1,January,Q1,Central Zone,Tamil Nadu,Retail Banking,fee income,2098.54,1939.29,-159.25,-7.59%,No,sunita rao,24-01-2016
BA00212,2011,3,March,Q1,East Zone,Punjab,Priority Banking,Total Deposits,2274.43,1731.57,-542.86,-23.87%,No,ANITA BOSE,28-05-2011
BA00213,2022,4,Apr,Q2,NORTH ZONE,Rajasthan,Corporate Banking,Total Disbursement,3922.29,4386.58,464.29,11.84%,Yes,meena iyer,09-06-2025
BA00214,2019,11,November,Q4,West Zone,delhi,  Retail Banking,Cross Sell Revenue,1908.05,1527.97,-380.08,-19.92%,Y,Ramesh Yadav,24-11-2019
BA00215,2025,7,July,Q3,West Zone,West Bengal,SME Banking,Cross Sell Revenue,1214.88,925.77,-289.11,-23.80%,No,KAVITHA SUBRAMANIAN,08-01-2025
BA00216,2020,1,January,Q1,North Zone,Punjab,Corporate Banking,  Operating Expense,393.51,337.05,-56.46,-14.35%,Y,  Arun Mehta,10-03-2025
BA00217,2024,2,February,Q1,West Zone,Telangana,Priority Banking,Cross Sell Revenue,176.43,199.57,23.14,13.12%,Yes,Priya Nair,30-05-2025
BA00218,2011,10,October,Q4,South Zone,Karnataka,corporate banking,Net Interest Income,Rs.709.49,813.71,104.22,14.69,Yes,Meena Iyer,24-10-2011
BA00219,2020,12,December,Q4,East Zone,Punjab,CORPORATE BANKING,Total Disbursement,4478.42,5085.32,606.9,13.55%,Yes,ARUN MEHTA,24-12-2020
BA00220,2015,2,February,Q1,North Zone,gujarat,SME Banking,Total Deposits,1480.23,1055.79,-424.44,-28.67%,No,Meena Iyer,24-02-2015
BA00221,2020,6,June,Q2,West Zone,UTTAR PRADESH,SME Banking,  New Customer Acquisition,3291.89,2626.44,Rs.-665.45,-20.21%,No,Nitin Joshi,07-08-2023
BA00222,2019,1,JANUARY,Q1,  North Zone,Delhi,Corporate Banking,Profit Before Tax,1609.14,1705.41,96.27,5.98%,Yes,DEEPA KRISHNAN,11-10-2019
BA00223,2019,7,Jul,Q3,West Zone,  Andhra Pradesh,corporate banking,cross sell revenue,1657.52,2013.51,355.99,21.48%,Yes,Sunita Rao,25-07-2019
BA00224,2010,12,December,Q4,East Zone,gujarat,Retail Banking,  NPA Amount,4940.23,4371.8,-568.43,-11.51%,N,sunita rao,24-12-2010
BA00225,2020,10,October,Q4,Central Zone,Kerala,Priority Banking,Operating Expense,56.6,72.71,16.11,28.47%,Yes,Sunita Rao,24-02-2022
BA00226,2017,11,November,Q4,South Zone,Karnataka,Priority Banking,New Customer Acquisition,2147.8,2551.96,404.16,18.82%,Yes,Sunita Rao,05-09-2021
BA00227,2018,2,February,Q1,North Zone,Haryana,sme banking,Net Interest Income,2809.43,3281.99,472.56,16.82%,Yes,Amit Patel,02-01-2020
BA00228,2016,4,April,Q2,West Zone,  Andhra Pradesh,Corporate Banking,Total Disbursement,4206.97,3578.78,-628.19,-14.93%,No,Lalita Devi,13-Mar-23
BA00229,2010,12,Dec,Q4,West Zone,MAHARASHTRA,NRI Banking,  Fee Income,4739.4,5339.38,599.98,12.66%,Yes,Rajesh Sharma,07-03-2023
BA00230,2015,8,August,Q3,South Zone,Punjab,Corporate Banking,NET INTEREST INCOME,2665.37,,-661.94,-24.83,No,Meena Iyer,04-10-2016
BA00231,2017,12,December,Q4,West Zone,Odisha,Corporate Banking,New Customer Acquisition,3841.5,3787.55,Rs.-53.95,-1.40%,No,Amit Patel,05-05-2018
BA00232,2025,9,September,Q3,Central Zone,Rajasthan,  NRI Banking,NEW CUSTOMER ACQUISITION,711.62,545.01,-166.61,-23.41%,No,Anita Bose,24-05-2025
BA00233,2014,12,December,Q4,central zone,Kerala,NRI Banking,net interest income,2189.6,2406.12,216.52,9.89%,Yes,Anita Bose,28-12-2018
BA00234,2014,11,November,Q4,East Zone,Gujarat,SME Banking,New Customer Acquisition,2517.66,1996.21,-521.45,-20.71%,No,vijay kumar,20-10-2022
BA00235,2016,3,March,Q1,East Zone,Karnataka,SME Banking,NPA AMOUNT,2688.108,2240.09,-749.83,-25.08%,No,anita bose,26-Aug-21
BA00236,2011,4,Apr,Q2,CENTRAL ZONE,  Uttar Pradesh,Priority Banking,New Customer Acquisition,216.46,219.05,2.59,1.20%,Yes,Priya Nair,24-04-2011
BA00237,2015,9,September,Q3,south zone,punjab,SME BANKING,Net Interest Income,1047.63,839.92,-207.71,-19.83%,No,Priya Nair,24-09-2015
BA00238,2013,4,April,Q2,East Zone,madhya pradesh,NRI Banking,net interest income,3026.78,2258.35,-768.43,-25.39%,No,  Sanjay Gupta,22-11-2014
BA00239,2022,9,September,Q3,Central Zone,HARYANA,  Priority Banking,PROFIT BEFORE TAX,953.85,876.95,-76.9,-8.06%,No,Sunita Rao,08-01-2025
BA00240,2019,6,June,Q2,Central Zone,Rajasthan,SME Banking,Recovery Amount,771.3,959.34,188.04,24.38%,Yes,ANITA BOSE,24-06-2019
BA00241,2018,10,October,Q4,West Zone,Uttar Pradesh,Retail Banking,Total Disbursement,813.69,,-99.13,-12.18%,No,kavitha subramanian,24-10-2018
BA00242,2016,1,January,Q1,South Zone,MAHARASHTRA,SME Banking,Total Deposits,56.484,47.07,-16.18,-25.57%,No,Mohan Das,12-02-2024
BA00243,2015,12,December,Q4,Central Zone,  Andhra Pradesh,RETAIL BANKING,Total Disbursement,Rs.1212.39,997.31,-215.08,-17.74%,No,Sanjay Gupta,12-06-2023
BA00244,2019,8,August,Q3,West Zone,Delhi,Corporate Banking,Cross Sell Revenue,101.52,71.33,-30.19,-29.74%,No,Nitin Joshi,28-06-2023
BA00245,2021,6,6,Q2,Central Zone,Odisha,NRI Banking,Cross Sell Revenue,4298.51,4680.6,382.09,8.89%,Yes,Rajesh Sharma,21-03-2025
BA00246,2018,5,May,Q2,North Zone,WEST BENGAL,Priority Banking,NPA Amount,3842.66,4822.9,980.24,25.51%,Yes,Vijay Kumar,11-01-2022
BA00247,2024,6,June,Q2,south zone,Telangana,SME Banking,Operating Expense,4113.22,4245.01,131.79,3.20%,Yes,sunita rao,04-07-2025
BA00248,2013,3,MARCH,Q1,South Zone,Haryana,NRI Banking,Profit Before Tax,4386.32,3373.82,-1012.5,-23.08%,No,Nitin Joshi,05-Jan-16
BA00249,2020,10,Oct,Q4,East Zone,Uttar Pradesh,SME Banking,RECOVERY AMOUNT,1304.8,1496.14,191.34,14.66%,Yes,Deepa Krishnan,14-11-2011
BA00250,2022,7,July,Q3,North Zone,Delhi,SME Banking,NEW CUSTOMER ACQUISITION,1016.48,1277.6,261.12,25.69,Yes,  Amit Patel,26-Mar-24
BA00251,2024,12,Dec,Q4,South Zone,Maharashtra,  SME Banking,total disbursement,2866.19,2194.81,-671.38,-23.42%,No,Priya Nair,01-02-2025
BA00252,2017,4,Apr,Q2,West Zone,Telangana,SME Banking,NPA Amount,222.22,223.29,1.07,0.48%,Yes,Nitin Joshi,29-01-2019
BA00253,2010,3,Mar,Q1,WEST ZONE,Telangana,nri banking,  Recovery Amount,2167,2350.61,183.61,8.47%,Yes,Arun Mehta,24-03-2010
BA00254,2023,12,DECEMBER,Q4,South Zone,Madhya Pradesh,sme banking,Recovery Amount,2685.59,3292.27,606.68,22.59%,Yes,  Kavitha Subramanian,24-12-2023
BA00255,2016,4,April,Q2,south zone,Telangana,RETAIL BANKING,Recovery Amount,2845.53,2396.44,-449.09,-15.78,No,Nitin Joshi,24-04-2016
BA00256,2025,4,April,Q2,Central Zone,Tamil Nadu,SME BANKING,total disbursement,3506,2977.49,-528.51,-15.07%,No,RAMESH YADAV,23-11-2025
BA00257,2025,10,Oct,Q4,East Zone,Gujarat,NRI BANKING,New Customer Acquisition,731.82,667.83,-63.99,-8.74%,No,anita bose,24-10-2025
BA00258,2024,4,APRIL,Q2,South Zone,Punjab,Retail Banking,Fee Income,2038.14,1628.85,-409.29,-20.08%,No,Anita Bose,24-04-2024
BA00259,2017,9,Sep,Q3,South Zone,Telangana,  Corporate Banking,New Customer Acquisition,1810.68,1847.43,36.75,2.03,Yes,ramesh yadav,28-05-2025
BA00260,2022,6,June,Q2,Central Zone,Tamil Nadu,Priority Banking,Recovery Amount,3706.58,3765.16,,1.58%,Yes,Amit Patel,21-02-2023
BA00261,2021,4,April,Q2,East Zone,Karnataka,priority banking,Profit Before Tax,4998.97,5479.83,480.86,9.62%,Yes,Sunita Rao,22-Apr-23
BA00262,2015,4,April,Q2,North Zone,RAJASTHAN,Retail Banking,profit before tax,4278.97,3467.28,-811.69,-18.97%,No,Deepa Krishnan,15-May-24
BA00263,2010,10,10,Q4,South Zone,Haryana,Retail Banking,Recovery Amount,356.55,328.04,-28.51,-8.00%,No,Nitin Joshi,24-10-2010
BA00264,2011,12,December,Q4,Central Zone,Maharashtra,Retail Banking,Total Deposits,1667.7,1318.2,-349.5,-20.96%,Y,PRIYA NAIR,08-06-2013
BA00265,2018,9,September,Q3,West Zone,Karnataka,SME BANKING,New Customer Acquisition,2365.89,2797.67,431.78,18.25%,Yes,Priya Nair,24-09-2018
BA00266,2016,10,OCTOBER,Q4,North Zone,TELANGANA,Retail Banking,Fee Income,4547.05,3777.78,,-16.92%,No,SANJAY GUPTA,09-Feb-24
BA00267,2011,4,Apr,Q2,East Zone,Madhya Pradesh,Retail Banking,total deposits,1163.35,Rs.1286.14,122.79,10.55%,Yes,Vijay Kumar,24-08-2017
BA00268,2023,12,12,Q4,north zone,  Andhra Pradesh,Corporate Banking,npa amount,Rs.4709.01,4753.58,44.57,0.95%,Yes,Nitin Joshi,24-12-2023
BA00269,2023,2,Feb,Q1,east zone,Uttar Pradesh,PRIORITY BANKING,Cross Sell Revenue,2121.39,1827.65,Rs.-293.74,-13.85%,No,Deepa Krishnan,22-Apr-25
BA00270,2025,7,Jul,Q3,West Zone,Uttar Pradesh,Priority Banking,Profit Before Tax,880.97,1119.53,238.56,27.08%,Yes,Arun Mehta,04-03-2025
BA00271,2020,1,January,Q1,South Zone,karnataka,Priority Banking,NPA Amount,3723.71,3057.26,-666.45,-17.90%,No,Vijay Kumar,31-Aug-22
BA00272,2025,1,January,Q1,West Zone,Punjab,  Corporate Banking,Operating Expense,3154.16,2503.88,-650.28,-20.62%,No,Rajesh Sharma,25-03-2025
BA00273,2017,7,Jul,Q3,West Zone,Maharashtra,NRI Banking,Total Disbursement,842.44,889.04,Rs.46.6,5.53%,Yes,Meena Iyer,24-07-2017
BA00274,2020,4,April,Q2,West Zone,Punjab,Retail Banking,Total Disbursement,210.47,187.03,-23.44,-11.14%,No,  Priya Nair,15-09-2023
BA00275,2016,4,April,Q2,  Central Zone,andhra pradesh,SME Banking,cross sell revenue,903.08,999.17,96.09,10.64%,YES,rajesh sharma,10-Mar-17
BA00276,2016,2,February,Q1,South Zone,  Andhra Pradesh,Retail Banking,Net Interest Income,2021.12,Rs.2348.6,327.48,16.20%,yes,  Mohan Das,02-05-2022
BA00277,2023,7,July,Q3,West Zone,Karnataka,Retail Banking,Recovery Amount,1520.25,1520.92,0.67,0.04%,Yes,Sanjay Gupta,15-Mar-25
BA00278,2010,8,August,Q3,East Zone,Madhya Pradesh,Priority Banking,  Total Deposits,1153.79,1400.19,246.4,21.36%,Yes,Sunita Rao,21-09-2018
BA00279,2011,7,July,Q3,South Zone,rajasthan,SME Banking,  Fee Income,1741.86,1379.15,-362.71,-20.82%,No,ramesh yadav,24-07-2011
BA00280,2020,10,October,Q4,West Zone,West Bengal,SME Banking,Net Interest Income,3422.74,2963.44,-459.3,-13.42%,No,Vijay Kumar,18-05-2020
BA00281,2015,10,October,Q4,East Zone,Andhra Pradesh,Priority Banking,Cross Sell Revenue,2847.53,2153.84,-693.69,-24.36%,No,Vijay Kumar,22-03-2020
BA00282,2010,9,SEPTEMBER,Q3,North Zone,  Andhra Pradesh,SME Banking,New Customer Acquisition,1799.19,1742.52,-56.67,-3.15%,No,Amit Patel,24-09-2010
BA00283,2021,9,September,Q3,Central Zone,Andhra Pradesh,sme banking,Cross Sell Revenue,1133.67,1272.71,139.04,12.26%,Yes,SUNITA RAO,17-09-2025
BA00284,2020,8,August,Q3,north zone,Gujarat,Priority Banking,New Customer Acquisition,881.96,969.33,87.37,9.91%,Yes,Amit Patel,24-08-2020
BA00285,2020,9,September,Q3,south zone,  Kerala,retail banking,fee income,3840.58,4733.5,892.92,23.25%,Yes,Arun Mehta,24-09-2020
BA00286,2021,4,April,Q2,  West Zone,  Maharashtra,nri banking,Net Interest Income,1098.91,917.72,-181.19,-16.49,No,Meena Iyer,24-04-2021
BA00287,2025,3,March,Q1,EAST ZONE,Gujarat,Priority Banking,fee income,193.1,157.88,-35.22,-18.24%,No,Deepa Krishnan,27-06-2025
BA00288,2010,10,October,Q4,Central Zone,Rajasthan,Corporate Banking,New Customer Acquisition,1135.08,1244.66,109.58,9.65%,Yes,Rajesh Sharma,20-10-2023
BA00289,2015,5,May,Q2,North Zone,Delhi,NRI Banking,Fee Income,4507.63,4730.96,223.33,4.95%,Yes,  Vijay Kumar,01-09-2022
BA00290,2015,5,May,Q2,West Zone,Haryana,NRI Banking,Profit Before Tax,2093.13,1793.07,-300.06,-14.34%,No,Priya Nair,24-05-2015
BA00291,2011,4,April,Q2,West Zone,West Bengal,SME Banking,NPA Amount,1552.78,1648.42,95.64,6.16%,Yes,priya nair,24-04-2011
BA00292,2011,12,DECEMBER,Q4,East Zone,maharashtra,  Corporate Banking,Total Deposits,4057.91,4292.77,234.86,5.79%,No ,Rajesh Sharma,24-12-2011
BA00293,2011,12,December,Q4,East Zone,TELANGANA,NRI Banking,Cross Sell Revenue,536.52,382.02,-154.5,-28.80%,No,Deepa Krishnan,24-12-2011
BA00294,2018,11,November,Q4,East Zone,Tamil Nadu,  Priority Banking,New Customer Acquisition,1956.92,1793.63,-163.29,-8.34%,No,Deepa Krishnan,29-Oct-22
BA00295,2017,12,December,Q4,North Zone,Telangana,RETAIL BANKING,Total Deposits,3934.18,4851.08,916.9,23.31%,Yes,Arun Mehta,02-09-2021
BA00296,2025,2,Feb,Q1,  Central Zone,gujarat,Priority Banking,total disbursement,1887.51,2237.49,349.98,18.54%,Yes,arun mehta,20-09-2025
BA00297,2013,2,2,Q1,  West Zone,maharashtra,Retail Banking,new customer acquisition,3154.6,2510.03,-644.57,-20.43%,No,Rajesh Sharma,30-12-2013
BA00298,2015,1,January,Q1,South Zone,Haryana,Retail Banking,Operating Expense,3536.26,,775.2,21.92,Yes,Vijay Kumar,20-11-2015
BA00299,2011,8,August,Q3,West Zone,Delhi,Corporate Banking,Recovery Amount,1991.98,1443.4,-548.58,-27.54%,No,Rajesh Sharma,09-Mar-11
BA00300,2014,8,AUGUST,Q3,NORTH ZONE,TAMIL NADU,  Corporate Banking,PROFIT BEFORE TAX,2914.82,3087.78,172.96,5.93%,Yes,Priya Nair,06-07-2014
BA00301,2019,4,April,Q2,Central Zone,Uttar Pradesh,SME Banking,NPA Amount,1565.628,1304.69,294.81,29.19%,Yes,deepa krishnan,24-04-2019
BA00302,2015,9,Sep,Q3,East Zone,Delhi,Retail Banking,recovery amount,928.06,738.44,-189.62,-20.43%,No,Sunita Rao,24-09-2015
BA00303,2022,4,April,Q2,North Zone,ODISHA,Retail Banking,Total Deposits,1786.51,1258.42,-528.09,-29.56,No,Mohan Das,10-08-2024
BA00304,2011,3,March,Q1,east zone,Gujarat,Corporate Banking,net interest income,4968.26,4099.99,Rs.-868.27,-17.48%,No,Amit Patel,31-10-2011
BA00305,2013,3,March,Q1,Central Zone,Rajasthan,Corporate Banking,Total Deposits,3389.1,3232.16,-156.94,-4.63%,No,Deepa Krishnan,24-03-2013
BA00306,2025,8,August,Q3,East Zone,West Bengal,Corporate Banking,NEW CUSTOMER ACQUISITION,1012.26,950.93,-61.33,-6.06%,No,  Arun Mehta,08-12-2025
BA00307,2020,6,June,Q2,West Zone,Karnataka,  Corporate Banking,fee income,3061.03,2882.32,-178.71,-5.84%,No,RAMESH YADAV,09-01-2023
BA00308,2022,9,September,Q3,EAST ZONE,Maharashtra,SME Banking,Profit Before Tax,1432.71,1543.76,111.05,7.75%,YES ,Mohan Das,31-03-2025
BA00309,2012,10,October,Q4,East Zone,Madhya Pradesh,NRI Banking,Recovery Amount,2643.37,2563.98,-79.39,-3.00%,No,  Amit Patel,14-01-2014
BA00310,2023,8,Aug,Q3,South Zone,Maharashtra,Priority Banking,cross sell revenue,1820.85,1366.79,-454.06,-24.94%,No,Vijay Kumar,27-Dec-25
BA00311,2019,2,2,Q1,North Zone,Delhi,Retail Banking,RECOVERY AMOUNT,1505.6,1591.42,85.82,5.70%,Yes,Mohan Das,10-12-2023
BA00312,2020,7,7,Q3,north zone,odisha,retail banking,Total Deposits,2962.36,3596.13,633.77,21.39%,Yes,  Amit Patel,10-08-2020
BA00313,2014,9,September,Q3,East Zone,  Tamil Nadu,Corporate Banking,Fee Income,1169.46,Rs.1182.04,12.58,1.08%,YES ,Kavitha Subramanian,24-09-2014
BA00314,2014,6,June,Q2,West Zone,Uttar Pradesh,SME Banking,Total Disbursement,2545.44,2612.02,66.58,2.62%,Yes,Arun Mehta,04-06-2020
BA00315,2013,2,February,Q1,East Zone,Karnataka,Corporate Banking,NPA Amount,3545.62,3913.6,367.98,10.38%,Yes,Deepa Krishnan,21-10-2022
BA00316,2016,1,January,Q1,North Zone,Telangana,Corporate Banking,OPERATING EXPENSE,188.57,199.26,10.69,5.67%,Yes,Vijay Kumar,09-Dec-25
BA00317,2019,6,June,Q2,South Zone,Punjab,PRIORITY BANKING,total deposits,750.03,579.59,-170.44,-22.72%,No,RAMESH YADAV,17-07-2022
BA00318,2014,1,January,Q1,West Zone,Andhra Pradesh,corporate banking,recovery amount,333.46,416.33,82.87,24.85%,Yes,deepa krishnan,31-05-2019
BA00319,2024,9,September,Q3,South Zone,Madhya Pradesh,NRI BANKING,Fee Income,3921.92,2770.28,-1151.64,-29.36%,No,priya nair,20-02-2024
BA00320,2010,12,DECEMBER,Q4,South Zone,UTTAR PRADESH,sme banking,Total Deposits,4508.01,3881.98,Rs.-626.03,-13.89%,No,SUNITA RAO,29-01-2011
BA00321,2025,8,August,Q3,South Zone,Uttar Pradesh,Priority Banking,  Profit Before Tax,3854.91,2740.08,-1114.83,-28.92%,No,ARUN MEHTA,29-11-2025
BA00322,2024,3,Mar,Q1,Central Zone,  Andhra Pradesh,Corporate Banking,Recovery Amount,2720.02,3040.77,320.75,11.79%,Yes,Anita Bose,24-03-2024
BA00323,2015,7,July,Q3,West Zone,Maharashtra,Corporate Banking,Fee Income,3995.25,4455.51,460.26,11.52%,Yes,Sanjay Gupta,26-Mar-21
BA00324,2021,7,July,Q3,Central Zone,GUJARAT,Corporate Banking,NPA Amount,4433.58,4895.25,461.67,10.41%,Yes,lalita devi,24-07-2021
BA00325,2022,5,May,Q2,NORTH ZONE,Maharashtra,Retail Banking,Recovery Amount,3962.03,4359.79,397.76,10.04%,Yes,Nitin Joshi,24-05-2022
BA00326,2014,1,January,Q1,EAST ZONE,  Andhra Pradesh,Priority Banking,NPA Amount,416.83,521.83,105,25.19%,Yes,Nitin Joshi,06-08-2014
BA00327,2012,11,November,Q4,West Zone,  Telangana,Retail Banking,Profit Before Tax,581.17,520.38,-60.79,-10.46%,No,Kavitha Subramanian,24-11-2012
BA00328,2020,3,March,Q1,South Zone,PUNJAB,NRI Banking,Recovery Amount,3241.5,2840.2,-401.3,-12.38%,No,Nitin Joshi,01-01-2021
BA00329,2020,2,February,Q1,Central Zone,Uttar Pradesh,Priority Banking,Total Deposits,52.66,51.35,-1.31,-2.50%,No,Sunita Rao,24-02-2020
BA00330,2020,12,December,Q4,West Zone,Maharashtra,NRI Banking,Cross Sell Revenue,4599.01,3312.73,-1286.28,-27.97%,No,  Amit Patel,12-02-2018
BA00331,2015,2,FEBRUARY,Q1,south zone,MAHARASHTRA,Corporate Banking,Cross Sell Revenue,1754.29,1609.98,-144.31,-8.23%,No,Ramesh Yadav,17-05-2015
BA00332,2014,6,June,Q2,South Zone,Rajasthan,Priority Banking,Profit Before Tax,977.15,981.04,3.89,0.40%,Yes,RAJESH SHARMA,10-Jul-18
BA00333,2023,1,January,Q1,East Zone,Punjab,SME Banking,Total Disbursement,4506.05,4885.65,379.6,8.42%,Yes,Arun Mehta,24-01-2023
